word,importance,surrogate,metric,kernel_width,iteration_id
I,-0.004286926343892052,ridge,cosine,0.1925,1
had,0.05636352504925762,ridge,cosine,0.1925,1
a,0.08721140793469721,ridge,cosine,0.1925,1
fantastic,-0.3245491723840394,ridge,cosine,0.1925,1
time,-0.03476762794206472,ridge,cosine,0.1925,1
at,-0.01845001213270484,ridge,cosine,0.1925,1
this,-0.07730392351574475,ridge,cosine,0.1925,1
event,-0.014461479785142478,ridge,cosine,0.1925,1
It,0.06252493563278556,ridge,cosine,0.1925,1
was,0.04515047543863393,ridge,cosine,0.1925,1
well,0.005422504021121899,ridge,cosine,0.1925,1
organized,-0.13957803363219942,ridge,cosine,0.1925,1
and,-0.10751148481681456,ridge,cosine,0.1925,1
enjoyed,-0.01364034735878248,ridge,cosine,0.1925,1
every,-0.12994221689343935,ridge,cosine,0.1925,1
moment,-0.07501377776056904,ridge,cosine,0.1925,1
of,0.008293902791573084,ridge,cosine,0.1925,1
it,-0.021763381194192345,ridge,cosine,0.1925,1
The,0.07889383398915484,ridge,cosine,0.1925,1
speakers,0.017769722171031677,ridge,cosine,0.1925,1
were,0.11604608313230423,ridge,cosine,0.1925,1
knowledgeable,0.01346760271308062,ridge,cosine,0.1925,1
insightful,-0.233773104423668,ridge,cosine,0.1925,1
learned,-0.03606547259269441,ridge,cosine,0.1925,1
lot,-0.022005251247740297,ridge,cosine,0.1925,1
from,0.009682015828804309,ridge,cosine,0.1925,1
them,-0.03251428962903558,ridge,cosine,0.1925,1
I,0.0,lasso,cosine,0.1925,1
had,0.037593715423235696,lasso,cosine,0.1925,1
a,0.04381735698879146,lasso,cosine,0.1925,1
fantastic,-0.2874207509880785,lasso,cosine,0.1925,1
time,-0.01055906832205777,lasso,cosine,0.1925,1
at,0.0,lasso,cosine,0.1925,1
this,-0.043795089458031046,lasso,cosine,0.1925,1
event,0.0,lasso,cosine,0.1925,1
It,0.03715728404986947,lasso,cosine,0.1925,1
was,0.02160889204513028,lasso,cosine,0.1925,1
well,0.0,lasso,cosine,0.1925,1
organized,-0.0800981723855674,lasso,cosine,0.1925,1
and,-0.03407235239545663,lasso,cosine,0.1925,1
enjoyed,-0.0,lasso,cosine,0.1925,1
every,-0.10249610541434667,lasso,cosine,0.1925,1
moment,-0.010293914335348531,lasso,cosine,0.1925,1
of,0.0,lasso,cosine,0.1925,1
it,-0.0,lasso,cosine,0.1925,1
The,0.05345634266964838,lasso,cosine,0.1925,1
speakers,0.0,lasso,cosine,0.1925,1
were,0.07979579269426382,lasso,cosine,0.1925,1
knowledgeable,0.0,lasso,cosine,0.1925,1
insightful,-0.17088270388817933,lasso,cosine,0.1925,1
learned,-0.006731236588936496,lasso,cosine,0.1925,1
lot,-0.0,lasso,cosine,0.1925,1
from,0.0,lasso,cosine,0.1925,1
them,-0.0,lasso,cosine,0.1925,1
I,0.0,decision_tree,cosine,0.1925,1
had,0.017914983350594937,decision_tree,cosine,0.1925,1
a,0.0034886763434353297,decision_tree,cosine,0.1925,1
fantastic,0.3932466949764583,decision_tree,cosine,0.1925,1
time,0.021242403798999252,decision_tree,cosine,0.1925,1
at,0.0,decision_tree,cosine,0.1925,1
this,0.0005844813963686293,decision_tree,cosine,0.1925,1
event,0.0,decision_tree,cosine,0.1925,1
It,0.0,decision_tree,cosine,0.1925,1
was,0.0,decision_tree,cosine,0.1925,1
well,0.0,decision_tree,cosine,0.1925,1
organized,0.07344229911925357,decision_tree,cosine,0.1925,1
and,0.04703939804258982,decision_tree,cosine,0.1925,1
enjoyed,0.0,decision_tree,cosine,0.1925,1
every,0.1422649492657858,decision_tree,cosine,0.1925,1
moment,0.041744972676338005,decision_tree,cosine,0.1925,1
of,0.0,decision_tree,cosine,0.1925,1
it,0.0,decision_tree,cosine,0.1925,1
The,0.008834542731187356,decision_tree,cosine,0.1925,1
speakers,0.0,decision_tree,cosine,0.1925,1
were,0.05418805683888492,decision_tree,cosine,0.1925,1
knowledgeable,0.0,decision_tree,cosine,0.1925,1
insightful,0.19600854146010413,decision_tree,cosine,0.1925,1
learned,0.0,decision_tree,cosine,0.1925,1
lot,0.0,decision_tree,cosine,0.1925,1
from,0.0,decision_tree,cosine,0.1925,1
them,0.0,decision_tree,cosine,0.1925,1
I,0.002705207139840177,ridge,cosine,0.1925,2
had,0.0637332675523667,ridge,cosine,0.1925,2
a,0.09611007089456881,ridge,cosine,0.1925,2
fantastic,-0.3160685450361733,ridge,cosine,0.1925,2
time,-0.05549502296302294,ridge,cosine,0.1925,2
at,-0.005025294704720175,ridge,cosine,0.1925,2
this,-0.09430514042734985,ridge,cosine,0.1925,2
event,-0.015772159716108694,ridge,cosine,0.1925,2
It,0.06935313667706117,ridge,cosine,0.1925,2
was,0.05476996113014682,ridge,cosine,0.1925,2
well,0.021490779024166736,ridge,cosine,0.1925,2
organized,-0.13410014460159891,ridge,cosine,0.1925,2
and,-0.10140425238268193,ridge,cosine,0.1925,2
enjoyed,-0.019148354238034085,ridge,cosine,0.1925,2
every,-0.1445382412229271,ridge,cosine,0.1925,2
moment,-0.07924904071551729,ridge,cosine,0.1925,2
of,0.008383553629340849,ridge,cosine,0.1925,2
it,-0.026940491880468233,ridge,cosine,0.1925,2
The,0.09608136141973926,ridge,cosine,0.1925,2
speakers,0.02994636164163733,ridge,cosine,0.1925,2
were,0.1304348205372729,ridge,cosine,0.1925,2
knowledgeable,0.007124075492734762,ridge,cosine,0.1925,2
insightful,-0.2283150018913389,ridge,cosine,0.1925,2
learned,-0.05266188337420776,ridge,cosine,0.1925,2
lot,-0.00793695121890416,ridge,cosine,0.1925,2
from,0.016304196721731435,ridge,cosine,0.1925,2
them,-0.025854724850375252,ridge,cosine,0.1925,2
I,0.0,lasso,cosine,0.1925,2
had,0.033759595914533154,lasso,cosine,0.1925,2
a,0.0583258142646912,lasso,cosine,0.1925,2
fantastic,-0.2710263985668402,lasso,cosine,0.1925,2
time,-0.023586851571446413,lasso,cosine,0.1925,2
at,-0.0,lasso,cosine,0.1925,2
this,-0.03655997347356795,lasso,cosine,0.1925,2
event,-0.0,lasso,cosine,0.1925,2
It,0.038521419216355414,lasso,cosine,0.1925,2
was,0.00018593041263301183,lasso,cosine,0.1925,2
well,0.0,lasso,cosine,0.1925,2
organized,-0.07271660124317572,lasso,cosine,0.1925,2
and,-0.03805015726256201,lasso,cosine,0.1925,2
enjoyed,-0.0,lasso,cosine,0.1925,2
every,-0.10170219763423592,lasso,cosine,0.1925,2
moment,-0.028056581802255728,lasso,cosine,0.1925,2
of,0.0,lasso,cosine,0.1925,2
it,-0.0,lasso,cosine,0.1925,2
The,0.05375447760337213,lasso,cosine,0.1925,2
speakers,0.0,lasso,cosine,0.1925,2
were,0.09396763490497485,lasso,cosine,0.1925,2
knowledgeable,-0.0,lasso,cosine,0.1925,2
insightful,-0.173082344080771,lasso,cosine,0.1925,2
learned,-0.0,lasso,cosine,0.1925,2
lot,-0.0,lasso,cosine,0.1925,2
from,0.0,lasso,cosine,0.1925,2
them,-0.0,lasso,cosine,0.1925,2
I,0.0,decision_tree,cosine,0.1925,2
had,0.016636366806236317,decision_tree,cosine,0.1925,2
a,0.019909988006442003,decision_tree,cosine,0.1925,2
fantastic,0.3581808700141976,decision_tree,cosine,0.1925,2
time,0.014327177420296348,decision_tree,cosine,0.1925,2
at,0.0,decision_tree,cosine,0.1925,2
this,0.0006341281149602758,decision_tree,cosine,0.1925,2
event,0.0,decision_tree,cosine,0.1925,2
It,0.0,decision_tree,cosine,0.1925,2
was,0.0,decision_tree,cosine,0.1925,2
well,0.021939739472129585,decision_tree,cosine,0.1925,2
organized,0.09766036172870787,decision_tree,cosine,0.1925,2
and,0.011333839080592722,decision_tree,cosine,0.1925,2
enjoyed,0.0,decision_tree,cosine,0.1925,2
every,0.1284069593767712,decision_tree,cosine,0.1925,2
moment,0.0,decision_tree,cosine,0.1925,2
of,0.0,decision_tree,cosine,0.1925,2
it,0.0,decision_tree,cosine,0.1925,2
The,0.0061508499198546064,decision_tree,cosine,0.1925,2
speakers,0.0,decision_tree,cosine,0.1925,2
were,0.07680174289181312,decision_tree,cosine,0.1925,2
knowledgeable,0.0,decision_tree,cosine,0.1925,2
insightful,0.24801797716799828,decision_tree,cosine,0.1925,2
learned,0.0,decision_tree,cosine,0.1925,2
lot,0.0,decision_tree,cosine,0.1925,2
from,0.0,decision_tree,cosine,0.1925,2
them,0.0,decision_tree,cosine,0.1925,2
I,-0.01211537926786181,ridge,cosine,0.1925,3
had,0.0668433620264713,ridge,cosine,0.1925,3
a,0.0869407116583711,ridge,cosine,0.1925,3
fantastic,-0.2901079186713289,ridge,cosine,0.1925,3
time,-0.04465774315597567,ridge,cosine,0.1925,3
at,-0.015336893047703162,ridge,cosine,0.1925,3
this,-0.06665379167858967,ridge,cosine,0.1925,3
